st_port,GROUP_CONCAT(st_dest_ip),GROUP_CONCAT(st_serv_name),GROUP_CONCAT(rule_name),GROUP_CONCAT(rule_order),GROUP_CONCAT(rule_number)
1540/tcp,10.28.208.15,tcp_1540,a_whitelist,681,665
1541/tcp,129.73.245.197,tcp_1541,a_whitelist,669,653
1542/tcp,129.73.245.197,tcp_1542,a_whitelist,669,653
1543/tcp,129.73.245.197,tcp_1543,a_whitelist,669,653
15672/tcp,"129.214.226.217,129.214.226.163","tcp_15672,tcp_15672","a_whitelisting,a_whitelisting","805,805","789,789"
16000-16020/tcp,136.157.210.102,tcp_16000-16020,a_whitelist,830,814
16000/tcp,"161.218.81.99,161.218.188.111,161.218.81.39","tcp_16000,tcp_16000,tcp_16000","wuser_1872,wuser_1872,wuser_1872","341,341,341","326,326,326"
161/tcp,"139.21.152.126,139.21.146.68,139.21.152.127,139.21.146.67,139.21.146.50,139.21.146.66,139.21.146.62,139.21.146.55,139.23.156.178,139.23.156.177,139.21.146.65,139.23.156.159,139.23.156.180,139.21.146.64,139.23.156.179,139.21.152.128","snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp,snmp-tcp","a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring","1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108","1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092"
161/udp,"139.21.170.119,139.21.170.118,139.21.170.120,139.21.170.121,136.157.210.125,136.157.210.9,136.157.210.34,136.157.210.11,136.157.210.32,136.157.210.10,136.157.210.33,136.157.210.72,136.157.210.12,136.157.210.102,136.157.210.124,136.157.210.73,136.157.210.126,129.73.168.93,146.254.254.35","snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp,snmp","a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_571_SNX_monitoring,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist,a_whitelist","1107,1107,1107,1107,831,831,832,831,832,831,832,831,831,830,831,831,831,801,801","1091,1091,1091,1091,815,815,816,815,816,815,816,815,815,814,815,815,815,785,785"
1610/tcp,"139.23.93.106,139.23.93.102","TCP_1610,TCP_1610","a_whitelist,a_whitelist","935,934","919,918"
1611/tcp,"139.23.93.102,139.23.93.106","TCP_1611,TCP_1611","a_whitelist,a_whitelist","934,935","918,919"
