,IPs,APP ID,Protocol type port,FQDNs,Application Name
15566,10.141.183.46,7423,TCP 1529,,PSDI
15567,10.141.183.47,7423,TCP 1530,,PSDI
15568,10.141.183.48,7423,TCP 1531,,PSDI
15569,10.141.183.49,7423,TCP 1532,,PSDI
15570,10.141.183.5,7423,TCP 1533,,PSDI
15571,10.141.183.50,7423,TCP 1534,,PSDI
15572,10.141.183.51,7423,TCP 1535,,PSDI
15573,10.141.183.6,7423,TCP 1536,,PSDI
15574,10.141.183.7,7423,TCP 1537,,PSDI
15575,10.141.183.8,7423,TCP 1538,,PSDI
15576,10.225.128.71,7423,TCP 8011; TCP  443; TCP 8000-8099,,PSDI
18148,139.21.144.8,7423,TCP 8410,,PSDI
15583,139.21.161.197,7423,TCP 1100; TCP 8120,,PSDI
15584,139.21.161.204,7423,TCP 1100; TCP 8105,,PSDI
18154,139.21.161.228,7423,TCP 44378,,PSDI
19358,139.25.178.235,3434,TCP 443; TCP 444,finavigate.sfs.siemens.com,finavigate®
15590,139.22.180.142,7423,TCP 4800; TCP  8443; TCP  9000,,PSDI
18181,139.22.192.179,7423,TCP 5209,,PSDI
15592,139.22.192.179,7423,TCP 1100; TCP 5209,,PSDI
18183,139.22.207.100,7423,TCP 44473,,PSDI
18196,139.23.155.133,7423,TCP 4800,,PSDI
15595,139.22.21.104,7423,TCP 1100; TCP 4803,,PSDI
15597,139.22.21.109,7423,TCP 1100; TCP 4800; TCP 8055,,PSDI
20091,139.25.231.85,3056,TCP 1100,eas-saperion.siemens.com,Energy Archiving Service
15610,139.23.155.133,7423,TCP 4800; TCP 9500,,PSDI
18200,139.23.155.151,7423,TCP 4842,,PSDI
15612,139.23.155.151,7423,TCP 4842; TCP 9542,,PSDI
18203,139.23.161.106,7423,TCP 9084,,PSDI
15614,139.23.161.107,7423,TCP 1100; TCP 4884; TCP 8443; TCP 9584; TCP 9584,,PSDI
18209,139.23.161.113,7423,TCP 1090,,PSDI
15616,139.23.161.115,7423,TCP 1100; TCP 4884; TCP 4894; TCP 8443; TCP 9584; TCP 9584,,PSDI
15617,139.23.161.71,7423,TCP 4846; TCP 8146; TCP 4840; TCP 8443,,PSDI
18225,139.23.212.198,7423,TCP 8094,,PSDI
18226,139.23.212.200,7423,TCP 8090,,PSDI
18227,139.23.218.35,7423,TCP 9080,,PSDI
15621,139.25.178.235,7423,TCP 443; TCP 9400,,PSDI
18232,140.231.80.82,7423,TCP 8011,,PSDI
18234,146.254.217.144,7423,TCP 44350,,PSDI
18237,147.54.155.176,7423,TCP 9125,,PSDI
18239,157.163.120.23,7423,TCP 4858,,PSDI
15627,157.163.134.237,7423,TCP 4810;  TCP 4858,sap03872.os.fth.sbs.de,PSDI
18243,157.163.138.100,7423,TCP 4830,,PSDI
18246,157.163.138.76,7423,TCP 4820,,PSDI
15630,157.163.138.76,7423,TCP 4810; TCP 4820,,PSDI
15635,158.226.14.103,2270,TCP 80;TCP 443; TCP 8866; TCP 8966; TCP 9166,spiridon-cee.sie.siemens.at ,SAP: GP1 (PROD)
15636,158.226.14.111,2270,TCP 3263;TCP 3363;TCP 3663;TCP 4863;TCP 8363;TCP 80;TCP 443;TCP   8863;TCP 8963;TCP 9163,atvies1zzx.sie.siemens.at,SAP: GA1 (QAS)
18252,157.163.142.80,7423,TCP 4844,,PSDI
18258,158.226.135.193,7423,TCP 1443,,PSDI
15642,158.226.14.103,7423,TCP 4866; TCP 9166,,PSDI
15643,158.226.14.111,7423,TCP 4863; TCP9163,,PSDI
18263,158.226.21.39,7423,TCP 9116,,PSDI
18264,158.226.21.58,7423,TCP 9113,,PSDI
18290,146.253.92.97,13286,TCP 443; TCP 80; TCP 8443,sefsps9900vsrv.ad101.siemens-energy.net ,Notices
20013,139.24.236.186,,TCP 8001,http://cnpek01077.ad001.siemens.net:8001/,Apply Spiridon temporary password
15649,157.163.86.109,7662,TCP 38083,sap01279.os.fth.sbs.de,SOS Webapplication
